Company,City,Sector,Employees,Founded,Score,Band,HR Posting,Posting Title,Recent Funding,Funding Note,GD Rating,GD Note,Signals,Website,Run Date,_band_order
Ada,Toronto,AI/Chatbot,400,2016,0,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2016 (10y) (0) | ℹ️  400 employees (0),ada.cx,2026-03-12,2
Cohere,Toronto,AI/NLP,300,2019,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2019 (7y) (0) | ✅ 300 employees (Alan sweet spot) (+5),cohere.com,2026-03-12,2
Xanadu,Toronto,Quantum Tech,150,2016,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2016 (10y) (0) | ✅ 150 employees (Alan sweet spot) (+5),xanadu.ai,2026-03-12,2
Jane App,Vancouver,HealthTech,250,2012,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2012 (14y) (0) | ✅ 250 employees (Alan sweet spot) (+5),jane.app,2026-03-12,2
Klue,Vancouver,Comp Intel,200,2015,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2015 (11y) (0) | ✅ 200 employees (Alan sweet spot) (+5),klue.com,2026-03-12,2
Humi,Toronto,HRTech,150,2016,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2016 (10y) (0) | ✅ 150 employees (Alan sweet spot) (+5),humi.ca,2026-03-12,2
Relay,Toronto,FinTech,100,2018,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2018 (8y) (0) | ✅ 100 employees (Alan sweet spot) (+5),relayfi.com,2026-03-12,2
Plooto,Toronto,FinTech,100,2015,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2015 (11y) (0) | ✅ 100 employees (Alan sweet spot) (+5),plooto.com,2026-03-12,2
Rewind,Ottawa,Backup SaaS,100,2017,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2017 (9y) (0) | ✅ 100 employees (Alan sweet spot) (+5),rewind.io,2026-03-12,2
Certn,Victoria,HR/RegTech,200,2016,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2016 (10y) (0) | ✅ 200 employees (Alan sweet spot) (+5),certn.co,2026-03-12,2
Procurify,Vancouver,ProcureTech,200,2012,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2012 (14y) (0) | ✅ 200 employees (Alan sweet spot) (+5),procurify.com,2026-03-12,2
Borrowell,Toronto,FinTech,150,2014,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2014 (12y) (0) | ✅ 150 employees (Alan sweet spot) (+5),borrowell.com,2026-03-12,2
Properly,Toronto,PropTech,60,2018,5,COLD,No,,No,,N/A,,❌ No active HR posting (0) | ❌ No recent funding found (0) | ⚠️  Glassdoor rating not found (0) | ℹ️  Founded 2018 (8y) (0) | ✅ 60 employees (Alan sweet spot) (+5),properly.ca,2026-03-12,2
